12c00000-13580000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
13580000-14bc0000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
14bc0000-15ec0000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
15ec0000-16200000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
16200000-19dc0000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
19dc0000-19e00000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
19e00000-19e80000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
19e80000-42c00000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
70187000-7043c000 rw-p 00000000 fd:06 29600977                           /system/framework/arm64/boot.art
7043c000-7055c000 rw-p 00000000 fd:06 29527913                           /system/framework/arm64/boot-core-libart.art
7055c000-705a2000 rw-p 00000000 fd:06 29851759                           /system/framework/arm64/boot-okhttp.art
705a2000-7061f000 rw-p 00000000 fd:06 29521769                           /system/framework/arm64/boot-bouncycastle.art
7061f000-70644000 rw-p 00000000 fd:06 29521516                           /system/framework/arm64/boot-apache-xml.art
70644000-7100f000 rw-p 00000000 fd:06 29488254                           /system/framework/arm64/boot-framework.art
7100f000-71044000 rw-p 00000000 fd:06 29524976                           /system/framework/arm64/boot-ext.art
71044000-71184000 rw-p 00000000 fd:06 31318375                           /system/framework/arm64/boot-telephony-common.art
71184000-71192000 rw-p 00000000 fd:06 29705328                           /system/framework/arm64/boot-voip-common.art
71192000-711a7000 rw-p 00000000 fd:06 29851751                           /system/framework/arm64/boot-ims-common.art
711a7000-711ac000 rw-p 00000000 fd:06 29518584                           /system/framework/arm64/boot-android.test.base.art
711ac000-71235000 rw-p 00000000 fd:06 29530985                           /system/framework/arm64/boot-featurelayer-widget.art
71235000-712d4000 rw-p 00000000 fd:06 29545833                           /system/framework/arm64/boot-hwEmui.art
712d4000-712f3000 rw-p 00000000 fd:06 29711470                           /system/framework/arm64/boot-hwPartBasicplatform.art
712f3000-71303000 rw-p 00000000 fd:06 29705318                           /system/framework/arm64/boot-telephony-separated.art
71303000-71328000 rw-p 00000000 fd:06 29814119                           /system/framework/arm64/boot-hwTelephony-common.art
71328000-71348000 rw-p 00000000 fd:06 29749479                           /system/framework/arm64/boot-hwPartTelephony.art
71348000-7135f000 rw-p 00000000 fd:06 29793771                           /system/framework/arm64/boot-hwPartTelephonyVSim.art
7135f000-71363000 rw-p 00000000 fd:06 29749487                           /system/framework/arm64/boot-hwPartTelephonyCust.art
71363000-71379000 rw-p 00000000 fd:06 29749496                           /system/framework/arm64/boot-hwPartTelephonyFullnetworkOpt.art
71379000-71382000 rw-p 00000000 fd:06 29789688                           /system/framework/arm64/boot-hwPartTelephonyTimezoneOpt.art
71382000-713b2000 rw-p 00000000 fd:06 29789675                           /system/framework/arm64/boot-hwPartTelephonyOpt.art
713b2000-713e5000 rw-p 00000000 fd:06 29703399                           /system/framework/arm64/boot-hwPartSecurity.art
713e5000-713ed000 rw-p 00000000 fd:06 29703410                           /system/framework/arm64/boot-hwPartSecurityFaceId.art
713ed000-713ef000 rw-p 00000000 fd:06 29689469                           /system/framework/arm64/boot-hwIms-common.art
713ef000-71402000 rw-p 00000000 fd:06 29836648                           /system/framework/arm64/boot-hwPartMedia.art
71402000-7140e000 rw-p 00000000 fd:06 29711483                           /system/framework/arm64/boot-hwPartConnectivity.art
7140e000-71412000 rw-p 00000000 fd:06 29836659                           /system/framework/arm64/boot-hwPartPowerOffice.art
